Time (s),Load (lbf),Machine Extension (in),Extension (in)
0.2785,0.012735,0.0032748,0.0032748
0.2795,0.012740,0.0032999,0.0032999
0.2805,0.012745,0.0033251,0.0033251
0.2815,0.012750,0.0033502,0.0033502
0.2825,0.012754,0.0033754,0.0033754
0.2835,0.012759,0.0034005,0.0034005
0.2845,0.012764,0.0034257,0.0034257
0.2855,0.012768,0.0034508,0.0034508
0.2865,0.012773,0.0034760,0.0034760
0.2875,0.012778,0.0035011,0.0035011
0.2885,0.012782,0.0035263,0.0035263
0.2895,0.012787,0.0035514,0.0035514
0.2905,0.012792,0.0035766,0.0035766
0.2915,0.012797,0.0036017,0.0036017
0.2925,0.012801,0.0036207,0.0036207
0.2935,0.012806,0.0036381,0.0036381
0.2945,0.012811,0.0036555,0.0036555
0.2955,0.012815,0.0036729,0.0036729
0.2964,0.012820,0.0036903,0.0036903
0.2974,0.012825,0.0037076,0.0037076
0.2984,0.012829,0.0037250,0.0037250
0.2994,0.012834,0.0037424,0.0037424
0.3004,0.012839,0.0037598,0.0037598
0.3014,0.012843,0.0037772,0.0037772
0.3024,0.012848,0.0037885,0.0037885
0.3034,0.012853,0.0037996,0.0037996
0.3044,0.012858,0.0038107,0.0038107
0.3054,0.012862,0.0038219,0.0038219
0.3064,0.012867,0.0038330,0.0038330
0.3074,0.012872,0.0038442,0.0038442
0.3084,0.012876,0.0038553,0.0038553
0.3094,0.012881,0.0038665,0.0038665
0.3104,0.012886,0.0038776,0.0038776
0.3114,0.012890,0.0038887,0.0038887
0.3124,0.012895,0.0038999,0.0038999
0.3134,0.012900,0.0039110,0.0039110
0.3144,0.012905,0.0039222,0.0039222
0.3154,0.012909,0.0039333,0.0039333
0.3163,0.012914,0.0039445,0.0039445
0.3173,0.012919,0.0039556,0.0039556
0.3183,0.012923,0.0039667,0.0039667
0.3193,0.012928,0.0039779,0.0039779
0.3203,0.012933,0.0039890,0.0039890
0.3213,0.012937,0.0040002,0.0040002
0.3223,0.012942,0.0040113,0.0040113
0.3233,0.012947,0.0040237,0.0040237
0.3243,0.012951,0.0040382,0.0040382
0.3253,0.012956,0.0040526,0.0040526
